task,arm,family,perturb,level,secs,auc,bacc,acc,mae,rmse,r
T3_l2c,logreg,tabular,noise,0.5,0.0,0.8072639225181598,0.699313962873285,0.6995515695067265,,,
T3_l2c,xgboost,tabular,noise,0.5,0.8,0.7816787732041969,0.6738498789346248,0.6681614349775785,,,
T3_l2c,tabpfn,tabular,noise,0.5,10.2,0.8046004842615012,0.7167877320419693,0.7174887892376681,,,
T3_l2c,trivial,tabular,noise,1.0,0.0,0.3992332526230832,0.5,0.5291479820627802,,,
T3_l2c,logreg,tabular,noise,1.0,0.0,0.7443099273607748,0.6680387409200969,0.6636771300448431,,,
T3_l2c,xgboost,tabular,noise,1.0,0.8,0.7338175948345441,0.6261501210653753,0.6143497757847534,,,
T3_l2c,tabpfn,tabular,noise,1.0,10.4,0.7769168684422922,0.6632364810330912,0.6547085201793722,,,
T2_brainage,trivial,tabular,mcar,0.0,0.0,,,,9.065832593681364,11.628912324109232,-0.1560343872785565
T2_brainage,logreg,tabular,mcar,0.0,0.0,,,,6.161294796336422,7.7785034087405736,0.7392103510807576
T2_brainage,xgboost,tabular,mcar,0.0,0.8,,,,5.680101247025717,7.384085527051612,0.7713726434118717
T2_brainage,tabpfn,tabular,mcar,0.0,6.0,,,,5.277968876133024,7.013808657472883,0.7944585367446299
T2_brainage,trivial,tabular,mcar,0.1,0.0,,,,9.065832593681364,11.628912324109232,-0.1560343872785565
T2_brainage,logreg,tabular,mcar,0.1,0.0,,,,6.657265106593725,8.671403788606906,0.6633173383072895
T2_brainage,xgboost,tabular,mcar,0.1,0.7,,,,7.9885882681737375,12.0341679924131,0.48700596164371235
T2_brainage,tabpfn,tabular,mcar,0.1,6.0,,,,5.98187039732564,8.110134599550495,0.7130011646945433
T2_brainage,trivial,tabular,mcar,0.2,0.0,,,,9.065832593681364,11.628912324109232,-0.1560343872785565
T2_brainage,logreg,tabular,mcar,0.2,0.0,,,,7.160663109055328,9.293111481652664,0.6106404785753552
T2_brainage,xgboost,tabular,mcar,0.2,0.7,,,,10.039946647620422,14.336940046044434,0.438250296165433
T2_brainage,tabpfn,tabular,mcar,0.2,6.1,,,,6.341370786306658,8.363765471170113,0.6929556117786574
