model,auc_cot,auc_direct,auc_filler,cot_benefit,cot_benefit_lo,cot_benefit_hi,cot_benefit_p,aoc,aoc_lo,aoc_hi,agree_at_0,mistake_change,mistake_lo,mistake_hi,paraphrase_change,forced_rate,median_chain_chars
qwen1_5b,0.5854802259887005,0.5036864406779662,0.5262853107344634,0.08179378531073433,0.018016911272656654,0.1430489587269107,0.012,0.2455909558067831,0.20633097848474286,0.2885530572880341,0.75,0.21774193548387097,0.14406610169491527,0.29545454545454547,0.07857142857142857,0.4562334217506631,1414.0
qwen7b,0.6158757062146892,0.6761016949152543,0.706228813559322,-0.06022598870056506,-0.12730548699507943,0.00876138011496582,0.084,0.06608695652173914,0.04219342437493365,0.09266437420690575,0.8285714285714286,0.03571428571428571,0.0,0.0789623205741626,0.014285714285714285,0.0,642.0
