task,model,contrast,metric,n_pairs,diff,lo,hi,p_boot,mcnemar_p,n01,n10,wilcoxon_p,rank_biserial,q_bh
T1_atn,qwen7b,cot-direct,dAUC,377,-0.06022598870056506,-0.12730548699507943,0.00876138011496582,0.084,0.05589722669971112,39.0,23.0,,,0.1512
T1_atn,qwen7b,cot-filler,dAUC,377,-0.09035310734463275,-0.15569583786270091,-0.02429713601893142,0.01,0.015432297453701269,45.0,24.0,,,0.04800000000000001
T1_atn,qwen7b,direct-filler,dAUC,377,-0.030127118644067696,-0.0572270378262032,-0.005826656407538794,0.016,0.1796875,7.0,2.0,,,0.04800000000000001
T3_l2c,qwen7b,cot-direct,dAUC,223,0.08414043583535114,0.007655888430467986,0.15775990220585343,0.029,0.6146550157654618,34.0,29.0,,,0.06525
T3_l2c,qwen7b,cot-filler,dAUC,223,0.09604519774011311,0.02247303301431856,0.17253850805414017,0.014,1.0,38.0,38.0,,,0.04800000000000001
T3_l2c,qwen7b,direct-filler,dAUC,223,0.011904761904761973,-0.04539210491012016,0.07504327453715624,0.672,0.332305908203125,6.0,11.0,,,0.672
T2_brainage,qwen7b,cot-direct,dMAE,323,-0.6470588235294112,-2.1768755054938564,0.7202795232475289,0.391,,,,0.8326644062827112,-0.009287925696594423,0.5027142857142858
T2_brainage,qwen7b,cot-filler,dMAE,323,-0.38699690402476783,-1.816428931451613,0.9261907894736846,0.586,,,,0.7843759872383069,-0.037151702786377694,0.65925
T2_brainage,qwen7b,direct-filler,dMAE,323,0.2600619195046434,-0.11306170268159396,0.7018699616756965,0.186,,,,0.2683429153372948,-0.03715170278637771,0.27899999999999997
