arm,family,n_ctl,n_dem,bag_auc,auc_lo,auc_hi,bag_dem,bag_ctl,cohens_d,mwu_p
logreg,tabular,323,283,0.6906322134581934,0.6333835518856664,0.7490936377661291,3.903200907892866,-1.746659232797274e-14,0.6594983714078702,5.338411701788755e-16
xgboost,tabular,323,283,0.6833134592873787,0.6276089203307319,0.7374090422562936,4.095074123992717,-2.991758887410948e-14,0.6637748834246378,6.573918791810914e-15
tabpfn,tabular,323,283,0.7012110404883546,0.6455626257289672,0.7572336979120147,4.257399059507866,-1.3198936267989476e-14,0.729977152586926,1.19678320769425e-17
cot,llm,323,283,0.48997910490214314,0.434934986168849,0.5465222375350539,0.149448165248719,-2.3582099465474533e-14,0.015128296091258275,0.6702815884794007
direct,llm,323,283,0.4699591943900492,0.40804236027013513,0.5349276273419254,-0.1976512047747763,-1.6278688063853687e-14,-0.01926559102699083,0.20165778755896058
