task,family,arm,perturb,level,n,auc,bacc,mae
T3_l2c,tabular,tabpfn,noise,0.5,0,0.8046004842615012,0.7167877320419693,
T3_l2c,tabular,trivial,noise,1.0,0,0.3992332526230832,0.5,
T3_l2c,tabular,logreg,noise,1.0,0,0.7443099273607748,0.6680387409200969,
T3_l2c,tabular,xgboost,noise,1.0,0,0.7338175948345441,0.6261501210653753,
T3_l2c,tabular,tabpfn,noise,1.0,0,0.7769168684422922,0.6632364810330912,
T2_brainage,llm,cot,mcar,0.0,150,,,11.28
T2_brainage,llm,cot,mcar,0.2,150,,,11.413333333333334
T2_brainage,llm,cot,mcar,0.5,150,,,10.826666666666666
T2_brainage,llm,cot,noise,1.0,150,,,13.253333333333334
T2_brainage,llm,direct,mcar,0.0,150,,,11.593333333333334
T2_brainage,llm,direct,mcar,0.2,150,,,10.813333333333333
T2_brainage,llm,direct,mcar,0.5,150,,,10.786666666666667
T2_brainage,llm,direct,noise,1.0,150,,,13.493333333333334
T2_brainage,tabular,trivial,mcar,0.0,0,,,9.065832593681364
T2_brainage,tabular,logreg,mcar,0.0,0,,,6.161294796336422
T2_brainage,tabular,xgboost,mcar,0.0,0,,,5.680101247025717
T2_brainage,tabular,tabpfn,mcar,0.0,0,,,5.277968876133024
T2_brainage,tabular,trivial,mcar,0.1,0,,,9.065832593681364
T2_brainage,tabular,logreg,mcar,0.1,0,,,6.657265106593725
T2_brainage,tabular,xgboost,mcar,0.1,0,,,7.9885882681737375
T2_brainage,tabular,tabpfn,mcar,0.1,0,,,5.98187039732564
T2_brainage,tabular,trivial,mcar,0.2,0,,,9.065832593681364
T2_brainage,tabular,logreg,mcar,0.2,0,,,7.160663109055328
T2_brainage,tabular,xgboost,mcar,0.2,0,,,10.039946647620422
T2_brainage,tabular,tabpfn,mcar,0.2,0,,,6.341370786306658
T2_brainage,tabular,trivial,mcar,0.3,0,,,9.065832593681364
T2_brainage,tabular,logreg,mcar,0.3,0,,,7.960787769284534
T2_brainage,tabular,xgboost,mcar,0.3,0,,,12.02400703548278
T2_brainage,tabular,tabpfn,mcar,0.3,0,,,7.181770029451825
T2_brainage,tabular,trivial,mcar,0.5,0,,,9.065832593681364
T2_brainage,tabular,logreg,mcar,0.5,0,,,8.358223922805047
T2_brainage,tabular,xgboost,mcar,0.5,0,,,14.22725368062778
T2_brainage,tabular,tabpfn,mcar,0.5,0,,,8.014458045132757
T2_brainage,tabular,trivial,noise,0.25,0,,,9.065832593681364
T2_brainage,tabular,logreg,noise,0.25,0,,,6.737394415123016
T2_brainage,tabular,xgboost,noise,0.25,0,,,6.536499058868125
T2_brainage,tabular,tabpfn,noise,0.25,0,,,6.051728310599785
T2_brainage,tabular,trivial,noise,0.5,0,,,9.065832593681364
T2_brainage,tabular,logreg,noise,0.5,0,,,7.405211161422902
T2_brainage,tabular,xgboost,noise,0.5,0,,,7.293286243828457
T2_brainage,tabular,tabpfn,noise,0.5,0,,,6.675426365052214
T2_brainage,tabular,trivial,noise,1.0,0,,,9.065832593681364
T2_brainage,tabular,logreg,noise,1.0,0,,,10.720699750500147
T2_brainage,tabular,xgboost,noise,1.0,0,,,9.52585261672643
T2_brainage,tabular,tabpfn,noise,1.0,0,,,8.827573286121474
