task,condition,n,base_rate,pred_rate,n_distinct_conf,conf_entropy,mean_conf,acc,ece,overconfidence,len_corr_r,len_corr_p
T1_atn,cot,377,0.46949602122015915,0.47480106100795755,10,1.5326615222112563,0.7584880636604774,0.649867374005305,0.28899204244031823,0.10862068965517235,-0.1142703828918394,0.02651165572828087
T1_atn,direct,377,0.46949602122015915,0.4270557029177719,8,1.188625526205622,0.7741379310344827,0.6923076923076923,0.3046419098143235,0.0818302387267904,,
T1_atn,filler,377,0.46949602122015915,0.40318302387267907,8,1.2791940279390392,0.7629973474801061,0.7055702917771883,0.29350132625994685,0.05742705570291773,,
T3_l2c,cot,223,0.47085201793721976,0.2914798206278027,10,1.913286007092207,0.5358744394618834,0.6771300448430493,0.08340807174887893,-0.14125560538116588,-0.17805237903253227,0.007692488907806028
T3_l2c,direct,223,0.47085201793721976,0.5381165919282511,2,0.6444830528406085,0.7845291479820626,0.6995515695067265,0.31367713004484304,0.08497757847533616,,
T3_l2c,filler,223,0.47085201793721976,0.6053811659192825,8,1.274259131448904,0.757847533632287,0.6771300448430493,0.28699551569506726,0.08071748878923768,,
