task,family,arm,model,parse_ok,forced,median_chars,n,auc,auc_lo,auc_hi,bacc,bacc_lo,bacc_hi,mae,mae_lo,mae_hi,rmse,r
T1_atn,llm,cot,qwen7b,1.0,0.0,642.0,377,0.6158757062146892,0.552283397003677,0.6762573979105372,0.6488841807909604,0.5785218070719328,0.7115976398667049,,,,,
T1_atn,llm,direct,qwen7b,1.0,0.0,34.0,377,0.6761016949152543,0.6013571854017761,0.7412401180919724,0.6885593220338984,0.6179488565529063,0.754686301903196,,,,,
T1_atn,llm,filler,qwen7b,1.0,0.0,35.0,377,0.706228813559322,0.6325238557984568,0.77334276881897,0.7004096045197741,0.63007654955092,0.7669206525943549,,,,,
T1_atn,tabular,trivial,-,,,,377,0.4318785310734463,0.31973975764824303,0.5484029072779073,0.5,0.5,0.5,,,,,
T1_atn,tabular,logreg,-,,,,377,0.7424293785310736,0.6528644714200091,0.8208056571911061,0.6397598870056498,0.5599255115371453,0.712279976583974,,,,,
T1_atn,tabular,xgboost,-,,,,377,0.7936440677966101,0.7193690693554924,0.8597161977185608,0.6981073446327684,0.6299338742625473,0.7651288115770783,,,,,
T1_atn,tabular,tabpfn,-,,,,377,0.6846892655367233,0.5836478646528852,0.7762805810125033,0.6316101694915255,0.5436615139604472,0.7147626878032232,,,,,
T3_l2c,llm,cot,qwen7b,1.0,0.0,550.0,223,0.6808313155770783,0.6088664064861052,0.7505989778034688,0.6655367231638418,0.6059968396628974,0.7260840365003215,,,,,
T3_l2c,llm,direct,qwen7b,1.0,0.0,33.0,223,0.5966908797417272,0.5232364412837626,0.6686905743884484,0.7024616626311542,0.6295130799038671,0.771044158716867,,,,,
T3_l2c,llm,filler,qwen7b,1.0,0.013452914798206279,51.0,223,0.5847861178369652,0.5130012685820469,0.6544906951843082,0.6838983050847458,0.6137696530634321,0.7504823664667543,,,,,
T3_l2c,tabular,trivial,-,,,,223,0.3992332526230832,0.2994243212412799,0.4994757212551678,0.5,0.5,0.5,,,,,
T3_l2c,tabular,logreg,-,,,,223,0.8261501210653752,0.7561251360048151,0.8873792725909643,0.7480629539951573,0.6819824565444683,0.8104538213381839,,,,,
T3_l2c,tabular,xgboost,-,,,,223,0.8398708635996772,0.769661972293608,0.9003858526787685,0.7369249394673123,0.6674206782721518,0.8062492572910543,,,,,
T3_l2c,tabular,tabpfn,-,,,,223,0.8422114608555287,0.7679645970450618,0.9066964662861005,0.7761501210653753,0.7090737014471686,0.8389821199386885,,,,,
T2_brainage,llm,cot,qwen7b,1.0,0.0,718.0,323,,,,,,,11.430340557275542,10.14132060777053,12.789708107426554,14.614552313324053,0.2771862454224657
T2_brainage,llm,direct,qwen7b,1.0,0.0,10.0,323,,,,,,,12.077399380804954,10.391391526830168,13.884836157915359,16.30865218903482,0.10180573384237002
T2_brainage,llm,filler,qwen7b,1.0,0.0,11.0,323,,,,,,,11.81733746130031,10.150247304606673,13.537524038461537,15.88942051210573,0.11758161172938997
T2_brainage,tabular,trivial,-,,,,323,,,,,,,9.065832593681364,8.075642014339987,10.092146060354986,11.628912324109232,-0.1560343872785565
T2_brainage,tabular,logreg,-,,,,323,,,,,,,6.161294796336422,5.505347069060455,6.848197094290599,7.7785034087405736,0.7392103510807576
T2_brainage,tabular,xgboost,-,,,,323,,,,,,,5.680101247025717,5.04123006360083,6.344974829487328,7.384085527051612,0.7713726434118717
T2_brainage,tabular,tabpfn,-,,,,323,,,,,,,5.277968876133024,4.646889934691315,5.932799193653436,7.013808657472883,0.7944585367446299
